"","No","Nama Sekolah","NPSN","BP","Status","Last Sync","Jml Sync","PD","Rombel","Guru","Pegawai","R. Kelas","R. Lab","R. Perpus","sumber"
"290","2","SD NEGERI BANYU URIP III364","20532952","SD","Negeri","15 Mar 2022 12:43:56",34,1.17,36,46,11,18,3,2,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"291","3","SD NEGERI BANYU URIP IX563","20532965","SD","Negeri","10 Mar 2022 09:43:48",22,281,10,13,4,4,0,1,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"292","4","SD NEGERI BANYU URIP VI367","20532967","SD","Negeri","14 Mar 2022 11:06:39",13,368,12,13,4,6,0,1,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"293","5","SD NEGERI BANYU URIP X584","20532970","SD","Negeri","15 Mar 2022 14:07:30",11,166,6,10,3,6,0,1,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"294","6","SD NEGERI KUPANG KRAJAN","20533525","SD","Negeri","18 Mar 2022 17:52:15",21,376,12,14,4,8,1,2,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"295","7","SD NEGERI PAKIS I368","20533186","SD","Negeri","18 Mar 2022 11:02:10",46,695,23,29,9,20,2,1,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"296","8","SD NEGERI PAKIS III370","20533188","SD","Negeri","09 Mar 2022 09:51:10",15,623,19,24,6,19,2,1,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"297","9","SD NEGERI PAKIS V372","20533190","SD","Negeri","07 Mar 2022 15:58:33",8,669,20,24,10,21,2,1,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"298","10","SD NEGERI PAKIS VIII375","20539114","SD","Negeri","15 Mar 2022 09:33:01",28,670,20,27,9,22,2,1,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"299","11","SD NEGERI PETEMON IX","20533282","SD","Negeri","26 Feb 2022 08:26:51",10,188,6,8,4,6,1,1,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"300","12","SD NEGERI PETEMON X 358","20533283","SD","Negeri","15 Mar 2022 17:00:02",15,490,16,17,7,16,0,1,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"301","13","SD NEGERI PETEMON XII","20533285","SD","Negeri","05 Mar 2022 12:44:14",15,249,9,10,3,10,1,1,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"302","14","SD NEGERI PETEMON XIII361","20533286","SD","Negeri","04 Mar 2022 14:07:30",20,356,12,15,5,7,2,1,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"303","15","SD NEGERI PUTAT JAYA I 377","20533418","SD","Negeri","12 Mar 2022 09:53:11",22,359,12,15,6,6,3,2,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"304","16","SD NEGERI PUTAT JAYA II378","20533419","SD","Negeri","10 Mar 2022 14:15:26",5,304,11,13,3,10,0,1,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"305","17","SD NEGERI PUTAT JAYA III379","20533420","SD","Negeri","08 Mar 2022 13:01:38",12,397,12,11,4,12,0,1,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"306","18","SD NEGERI PUTAT JAYA IV380","20533421","SD","Negeri","09 Mar 2022 15:27:34",16,328,12,17,4,12,1,1,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"307","19","SD NEGERI SAWAHAN I340","20533256","SD","Negeri","12 Mar 2022 11:02:55",26,400,12,16,5,14,2,2,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"308","20","SD NEGERI SAWAHAN IV343","20553954","SD","Negeri","12 Mar 2022 09:03:39",37,1.017,32,37,12,23,3,1,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"309","21","SDN PETEMON","20533292","SD","Negeri","16 Mar 2022 08:54:32",17,1.068,32,42,11,19,1,1,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"310","22","SD ADVENT","20531838","SD","Swasta","11 Mar 2022 10:31:59",12,116,6,6,1,6,3,1,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"311","23","SD BAHRUL ULUM","20531591","SD","Swasta","09 Mar 2022 11:55:36",12,741,21,24,6,21,1,1,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"312","24","SD BAITU ILMIN","20531950","SD","Swasta","09 Mar 2022 08:12:41",6,195,7,10,1,9,3,1,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"313","25","SD BUDI LUHUR","20531904","SD","Swasta","09 Mar 2022 10:40:24",6,112,6,7,1,3,1,1,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"314","26","SD GIKI 1","20533036","SD","Swasta","07 Mar 2022 09:36:50",10,140,6,11,4,6,2,1,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"315","27","SD Gracia Mira Vidya Loka","69976762","SD","Swasta","16 Feb 2022 12:22:31",3,36,6,6,1,7,2,1,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"316","28","SD KARTIKA","20532997","SD","Swasta","16 Mar 2022 11:24:45",11,381,12,15,4,6,1,1,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"317","29","SD KATOLIK DON BOSCO","20531961","SD","Swasta","27 Feb 2022 13:01:08",6,136,6,8,7,6,2,2,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"318","30","SD KATOLIK SANTO VINCENTIUS 1","20532880","SD","Swasta","10 Feb 2022 10:03:26",4,404,17,19,11,18,4,1,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"319","31","SD KRISTEN BAPTIS","20533113","SD","Swasta","10 Mar 2022 08:19:20",9,129,6,8,2,6,1,1,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"320","32","SD PAKIS JAYA","20533087","SD","Swasta","04 Mar 2022 13:23:46",16,124,6,10,1,6,2,2,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"321","33","SD RAHMAT","20532855","SD","Swasta","17 Mar 2022 12:40:35",20,256,11,14,1,12,2,1,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"322","34","SD SISWA TAMA","20532878","SD","Swasta","10 Mar 2022 18:42:30",31,77,6,8,3,6,0,1,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"323","35","SD TRI TUNGGAL V","20532873","SD","Swasta","16 Aug 2021 20:14:22",0,0,0,3,1,5,1,1,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"324","36","SD TUNAS BHAKTI 26 SURABAYA","20539207","SD","Swasta","16 Mar 2022 21:36:18",4,134,6,7,3,6,0,1,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"325","37","SD TUNAS JAYA","20532814","SD","Swasta","16 Feb 2022 17:44:51",3,48,6,6,2,7,0,0,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"326","38","SDI MUSRA","20533097","SD","Swasta","12 Mar 2022 10:31:37",7,177,8,10,2,6,2,1,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"327","39","SDK INDRIASANA IV","20533061","SD","Swasta","08 Mar 2022 12:41:26",10,65,6,8,2,6,4,1,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"328","40","SDK PETRA 11","20533011","SD","Swasta","10 Mar 2022 08:27:42",6,191,9,14,4,11,1,1,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"329","Total","Total","Total","Total","Total","Total",584,14.273,495,620,188,425,58,45,"Data Sekolah Kec. Sawahan - Dapodikdasmen.html"
"330","1","SD NEGERI BERINGIN 477","20532954","SD","Negeri","15 Feb 2022 07:14:42",13,491,16,21,7,16,2,1,"Data Sekolah Kec. Sambi Kerep - Dapodikdasmen.html"
"331","2","SD NEGERI LONTAR 481","20533561","SD","Negeri","09 Feb 2022 13:04:51",9,281,9,10,4,9,3,1,"Data Sekolah Kec. Sambi Kerep - Dapodikdasmen.html"
"332","3","SD NEGERI LONTAR II","69966904","SD","Negeri","14 Mar 2022 15:35:30",20,250,9,9,5,12,1,1,"Data Sekolah Kec. Sambi Kerep - Dapodikdasmen.html"
"333","4","SD NEGERI MADE I NO. 475","20533552","SD","Negeri","10 Mar 2022 08:56:35",17,409,13,16,8,13,1,1,"Data Sekolah Kec. Sambi Kerep - Dapodikdasmen.html"
"334","5","SD NEGERI SAMBIKEREP 1 479","20533252","SD","Negeri","17 Mar 2022 11:16:00",31,639,20,26,11,20,1,2,"Data Sekolah Kec. Sambi Kerep - Dapodikdasmen.html"
"335","6","SD NEGERI SAMBIKEREP II480","20533253","SD","Negeri","11 Mar 2022 08:08:06",25,590,18,23,9,18,2,1,"Data Sekolah Kec. Sambi Kerep - Dapodikdasmen.html"
"336","7","SD CIKAL","69928458","SD","Swasta","17 Mar 2022 12:27:13",8,164,8,13,7,11,2,1,"Data Sekolah Kec. Sambi Kerep - Dapodikdasmen.html"
"337","8","SD ISLAM AL MIZAN","69883216","SD","Swasta","20 Feb 2022 14:33:05",2,240,11,7,13,13,3,1,"Data Sekolah Kec. Sambi Kerep - Dapodikdasmen.html"
"338","9","SD KHADIJAH 3","20533125","SD","Swasta","02 Mar 2022 11:24:34",27,433,18,25,3,18,0,2,"Data Sekolah Kec. Sambi Kerep - Dapodikdasmen.html"
"339","10","SDKARITAS II","20533009","SD","Swasta","08 Mar 2022 12:19:34",5,309,12,15,3,12,2,1,"Data Sekolah Kec. Sambi Kerep - Dapodikdasmen.html"
"340","11","SD SURABAYA CAMBRIDGE SCHOOL","20584018","SPK SD","Swasta","15 Mar 2022 15:06:59",18,315,16,26,2,16,2,1,"Data Sekolah Kec. Sambi Kerep - Dapodikdasmen.html"
"341","12","SD SURABAYA EUROPEAN SCHOOL","69873969","SPK SD","Swasta","25 Feb 2022 13:43:39",15,80,6,15,9,6,2,1,"Data Sekolah Kec. Sambi Kerep - Dapodikdasmen.html"
"342","13","SD SURABAYA TAIPEI SCHOOL","69883432","SPK SD","Swasta","14 Sep 2021 16:06:21",0,0,0,2,1,11,0,0,"Data Sekolah Kec. Sambi Kerep - Dapodikdasmen.html"
"343","Total","Total","Total","Total","Total","Total",190,4.201,156,208,82,175,21,14,"Data Sekolah Kec. Sambi Kerep - Dapodikdasmen.html"
"344","1","SD NEGERI KALI RUNGKUT I-264","20533424","SD","Negeri","08 Mar 2022 14:10:43",24,833,26,32,8,27,2,1,"Data Sekolah Kec. Rungkut - Dapodikdasmen.html"
"345","2","SD NEGERI KALIRUNGKUT IV580","20533438","SD","Negeri","09 Mar 2022 09:04:14",7,303,10,12,4,9,2,1,"Data Sekolah Kec. Rungkut - Dapodikdasmen.html"
"346","3","SD NEGERI KEDUNG BARUK I NO 275","20533462","SD","Negeri","16 Feb 2022 10:26:33",32,468,17,19,4,15,1,2,"Data Sekolah Kec. Rungkut - Dapodikdasmen.html"
"347","4","SD NEGERI KENDANGSARI III","20533574","SD","Negeri","12 Mar 2022 08:37:02",12,290,11,12,7,12,1,1,"Data Sekolah Kec. Rungkut - Dapodikdasmen.html"
"348","5","SD NEGERI KENDANGSARI IV","20533565","SD","Negeri","16 Mar 2022 14:17:57",10,260,11,12,5,7,2,1,"Data Sekolah Kec. Rungkut - Dapodikdasmen.html"
"349","6","SD NEGERI MEDOKAN AYU I","20533195","SD","Negeri","11 Mar 2022 09:46:56",14,648,19,20,7,24,1,1,"Data Sekolah Kec. Rungkut - Dapodikdasmen.html"
"350","7","SD NEGERI MEDOKAN AYU II615 SURABAYA","20533196","SD","Negeri","02 Mar 2022 08:20:11",15,624,18,20,9,15,2,1,"Data Sekolah Kec. Rungkut - Dapodikdasmen.html"
"351","8","SD NEGERI PENJARINGANSARI I271","20533179","SD","Negeri","10 Mar 2022 11:54:31",18,362,11,12,2,11,0,1,"Data Sekolah Kec. Rungkut - Dapodikdasmen.html"
"352","9","SD NEGERI PENJARINGANSARI II NO 608","20533180","SD","Negeri","12 Mar 2022 04:52:49",12,555,16,20,5,16,1,1,"Data Sekolah Kec. Rungkut - Dapodikdasmen.html"
"353","10","SD NEGERI RUNGKUT KIDUL I NO. 267","20533410","SD","Negeri","18 Mar 2022 19:11:25",20,466,15,18,5,11,1,1,"Data Sekolah Kec. Rungkut - Dapodikdasmen.html"
"354","11","SD NEGERI RUNGKUT KIDUL II NO 581","20533422","SD","Negeri","14 Mar 2022 12:56:40",16,356,11,23,6,9,0,1,"Data Sekolah Kec. Rungkut - Dapodikdasmen.html"
"355","12","SD NEGERI WONOREJO 274","20532423","SD","Negeri","17 Mar 2022 14:07:29",18,538,17,21,4,11,0,1,"Data Sekolah Kec. Rungkut - Dapodikdasmen.html"
"356","13","SD ISLAM AL KHOIRIYYAH","20531931","SD","Swasta","19 Feb 2022 10:23:17",5,80,6,7,1,6,2,1,"Data Sekolah Kec. Rungkut - Dapodikdasmen.html"
"357","14","SD ISLAM JIWA NALA","20533050","SD","Swasta","12 Mar 2022 09:11:04",4,71,5,7,3,8,3,1,"Data Sekolah Kec. Rungkut - Dapodikdasmen.html"
"358","15","SD ISLAM TARBIYATUL ATHFAL","20532992","SD","Swasta","17 Mar 2022 08:42:51",7,376,13,17,2,7,1,1,"Data Sekolah Kec. Rungkut - Dapodikdasmen.html"
"359","16","SD ISLAM WACHID HASYIM","20532994","SD","Swasta","15 Feb 2022 10:25:50",11,296,12,13,2,7,3,1,"Data Sekolah Kec. Rungkut - Dapodikdasmen.html"
"360","17","SD ISLAM YAMASSA","20532812","SD","Swasta","14 Mar 2022 18:03:23",7,413,14,18,2,16,2,1,"Data Sekolah Kec. Rungkut - Dapodikdasmen.html"
"361","18","SD JUARA","69984653","SD","Swasta","08 Mar 2022 15:39:50",6,70,4,5,2,4,1,1,"Data Sekolah Kec. Rungkut - Dapodikdasmen.html"
"362","19","SD KHADIJAH WONOREJO","69978297","SD","Swasta","18 Mar 2022 09:28:07",6,301,12,13,6,12,0,1,"Data Sekolah Kec. Rungkut - Dapodikdasmen.html"
"363","20","SD MENTARI KASIH","20571670","SD","Swasta","08 Feb 2022 11:57:14",1,169,8,8,2,12,2,1,"Data Sekolah Kec. Rungkut - Dapodikdasmen.html"
"364","21","SD NURUL FAIZAH","69985994","SD","Swasta","07 Mar 2022 15:08:33",16,229,10,19,4,13,1,1,"Data Sekolah Kec. Rungkut - Dapodikdasmen.html"
"365","22","SD SINAR MULIA INDONESIA","69896629","SD","Swasta","16 Feb 2022 12:21:48",13,142,6,9,3,7,2,1,"Data Sekolah Kec. Rungkut - Dapodikdasmen.html"
"366","23","SD YAMASTHO","20532811","SD","Swasta","21 Feb 2022 08:38:02",9,526,17,28,8,20,3,1,"Data Sekolah Kec. Rungkut - Dapodikdasmen.html"
"367","24","SD INTAN PERMATA HATI","20533053","SPK SD","Swasta","23 Feb 2022 09:07:01",2,301,14,14,1,23,3,1,"Data Sekolah Kec. Rungkut - Dapodikdasmen.html"
"368","Total","Total","Total","Total","Total","Total",285,8.677,303,379,102,302,36,25,"Data Sekolah Kec. Rungkut - Dapodikdasmen.html"
"369","1","SD NEGERI BABAT JERAWAT I","20532948","SD","Negeri","11 Mar 2022 16:42:30",16,677,20,29,9,20,2,1,"Data Sekolah Kec. Pakal - Dapodikdasmen.html"
"370","2","SD NEGERI BABAT JERAWAT II 498","20532949","SD","Negeri","26 Feb 2022 08:11:16",11,418,13,16,6,13,1,1,"Data Sekolah Kec. Pakal - Dapodikdasmen.html"
"371","3","SD NEGERI BENOWO I","20532972","SD","Negeri","25 Feb 2022 17:43:57",16,819,24,29,11,12,2,1,"Data Sekolah Kec. Pakal - Dapodikdasmen.html"
"372","4","SD NEGERI BENOWO III","20532963","SD","Negeri","10 Mar 2022 13:47:32",17,429,17,21,7,14,0,1,"Data Sekolah Kec. Pakal - Dapodikdasmen.html"
"373","5","SD NEGERI PAKAL I","20533184","SD","Negeri","12 Mar 2022 10:58:22",24,455,16,21,8,16,1,1,"Data Sekolah Kec. Pakal - Dapodikdasmen.html"
"374","6","SD NEGERI SUMBEREJO II","20532362","SD","Negeri","07 Mar 2022 09:01:37",21,563,20,25,6,25,1,1,"Data Sekolah Kec. Pakal - Dapodikdasmen.html"
"375","7","SD AL AZHAR BEHJI","69830408","SD","Swasta","14 Mar 2022 09:57:39",14,313,12,14,2,12,0,1,"Data Sekolah Kec. Pakal - Dapodikdasmen.html"
"376","8","SD AL FATHIMIYYAH","20539137","SD","Swasta","16 Mar 2022 10:36:02",15,524,18,23,3,18,3,1,"Data Sekolah Kec. Pakal - Dapodikdasmen.html"
"377","9","SD AL KAUTSAR","20531938","SD","Swasta","14 Mar 2022 11:53:03",9,334,12,25,1,12,2,1,"Data Sekolah Kec. Pakal - Dapodikdasmen.html"
"378","10","SD AL MANAR","20531935","SD","Swasta","14 Mar 2022 10:24:08",83,300,12,16,4,12,2,1,"Data Sekolah Kec. Pakal - Dapodikdasmen.html"
"379","11","SD CITRA BERKAT","20531899","SD","Swasta","27 Feb 2022 10:25:24",8,531,18,33,3,24,2,2,"Data Sekolah Kec. Pakal - Dapodikdasmen.html"
"380","12","SD KYAI RODLIYAH","20533140","SD","Swasta","17 Mar 2022 06:16:22",12,92,6,11,1,6,1,1,"Data Sekolah Kec. Pakal - Dapodikdasmen.html"
"381","13","SD TANWIRUL AFKAR","20532885","SD","Swasta","01 Feb 2022 22:52:49",5,101,6,8,1,6,2,1,"Data Sekolah Kec. Pakal - Dapodikdasmen.html"
"382","14","SD UNGGULAN AL HIKMAH","69989220","SD","Swasta","31 Jan 2022 23:05:55",3,22,3,2,1,3,0,0,"Data Sekolah Kec. Pakal - Dapodikdasmen.html"
"383","15","SDIT PERMATA","20572027","SD","Swasta","15 Mar 2022 11:31:03",10,344,13,9,3,11,2,1,"Data Sekolah Kec. Pakal - Dapodikdasmen.html"
"384","Total","Total","Total","Total","Total","Total",264,5.922,210,282,66,204,21,15,"Data Sekolah Kec. Pakal - Dapodikdasmen.html"
"385","1","SD NEGERI KREMBANGAN UTARA I56","20533522","SD","Negeri","11 Mar 2022 08:12:00",22,574,18,23,7,10,1,1,"Data Sekolah Kec. Pabean Cantian - Dapodikdasmen.html"
"386","2","SD NEGERI KREMBANGAN UTARA II57","20533523","SD","Negeri","18 Mar 2022 08:45:59",31,561,17,21,6,22,0,1,"Data Sekolah Kec. Pabean Cantian - Dapodikdasmen.html"
"387","3","SD NEGERI PERAK UTARA I58","20533296","SD","Negeri","16 Mar 2022 11:32:41",30,428,14,19,8,8,0,2,"Data Sekolah Kec. Pabean Cantian - Dapodikdasmen.html"
"388","4","SD NEGERI PERAK UTARA III60","20533298","SD","Negeri","18 Mar 2022 08:27:18",20,338,12,14,5,13,2,1,"Data Sekolah Kec. Pabean Cantian - Dapodikdasmen.html"
"389","5","SD AL-ISTIQOMAH","20531940","SD","Swasta","09 Mar 2022 11:40:43",12,379,12,15,1,12,1,1,"Data Sekolah Kec. Pabean Cantian - Dapodikdasmen.html"
"390","6","SD DAPUAN SWASTA","20531912","SD","Swasta","08 Mar 2022 09:51:45",15,81,6,7,2,6,0,1,"Data Sekolah Kec. Pabean Cantian - Dapodikdasmen.html"
"391","7","SD DARUSSALAM","20531924","SD","Swasta","15 Mar 2022 09:36:31",11,24,6,5,1,6,1,1,"Data Sekolah Kec. Pabean Cantian - Dapodikdasmen.html"
"392","8","SD HUSNUL HIDAYAH","20533057","SD","Swasta","14 Mar 2022 11:41:45",8,56,6,5,1,6,0,0,"Data Sekolah Kec. Pabean Cantian - Dapodikdasmen.html"
"393","9","SD ISLAM MUFIDAH","20539074","SD","Swasta","08 Mar 2022 09:04:53",9,227,7,7,2,6,0,1,"Data Sekolah Kec. Pabean Cantian - Dapodikdasmen.html"
"394","10","SD MUHAMMADIYAH 13","20533078","SD","Swasta","16 Mar 2022 19:20:35",10,203,10,13,4,10,2,1,"Data Sekolah Kec. Pabean Cantian - Dapodikdasmen.html"
"395","11","SD MUJAHIDIN","20533084","SD","Swasta","31 Jan 2022 08:40:37",4,357,14,21,3,15,2,1,"Data Sekolah Kec. Pabean Cantian - Dapodikdasmen.html"
"396","12","SD SASANA BHAKTI","20532851","SD","Swasta","18 Mar 2022 18:28:01",15,58,6,7,1,6,2,1,"Data Sekolah Kec. Pabean Cantian - Dapodikdasmen.html"
"397","13","SD SHANTI","20532866","SD","Swasta","15 Oct 2021 20:54:55",0,0,0,8,1,6,0,1,"Data Sekolah Kec. Pabean Cantian - Dapodikdasmen.html"
"398","14","SD TRISULA","20532874","SD","Swasta","11 Mar 2022 10:37:28",4,111,6,9,2,6,0,1,"Data Sekolah Kec. Pabean Cantian - Dapodikdasmen.html"
"399","Total","Total","Total","Total","Total","Total",191,3.397,134,174,44,132,11,14,"Data Sekolah Kec. Pabean Cantian - Dapodikdasmen.html"
"400","1","SD NEGERI KALIJUDAN I 239","20533519","SD","Negeri","15 Mar 2022 08:34:03",23,591,19,23,9,24,1,2,"Data Sekolah Kec. Mulyorejo - Dapodikdasmen.html"
"401","2","SD NEGERI KALISARI I 242","20533439","SD","Negeri","16 Mar 2022 12:40:50",16,296,11,13,6,11,1,1,"Data Sekolah Kec. Mulyorejo - Dapodikdasmen.html"
"402","3","SD NEGERI KALISARI II 513","20564059","SD","Negeri","14 Mar 2022 22:27:26",45,277,10,13,6,12,1,2,"Data Sekolah Kec. Mulyorejo - Dapodikdasmen.html"
"403","4","SD NEGERI KEJAWAN PUTIH I-243","20533581","SD","Negeri","18 Mar 2022 11:39:52",9,336,11,9,4,11,1,2,"Data Sekolah Kec. Mulyorejo - Dapodikdasmen.html"
"404","5","SD NEGERI MANYAR SABRANGAN II231","20533206","SD","Negeri","18 Mar 2022 10:04:24",35,401,14,18,6,17,2,1,"Data Sekolah Kec. Mulyorejo - Dapodikdasmen.html"
"405","6","SD NEGERI MULYOREJO I-237","20533216","SD","Negeri","15 Mar 2022 12:12:18",24,409,12,13,6,12,2,1,"Data Sekolah Kec. Mulyorejo - Dapodikdasmen.html"
"406","7","SD NEGERI SUTOREJO I240","20532363","SD","Negeri","16 Mar 2022 10:18:58",10,320,11,17,6,11,2,1,"Data Sekolah Kec. Mulyorejo - Dapodikdasmen.html"
"407","8","SD AL ISLAM","20531862","SD","Swasta","11 Mar 2022 08:35:12",14,431,16,22,4,16,2,1,"Data Sekolah Kec. Mulyorejo - Dapodikdasmen.html"
"408","9","SD HIDAYATUL UMMAH","20533056","SD","Swasta","12 Mar 2022 20:59:44",10,497,18,25,1,18,2,1,"Data Sekolah Kec. Mulyorejo - Dapodikdasmen.html"
"409","10","SD ISLAM AL AZHAR 11 SURABAYA","20533043","SD","Swasta","21 Feb 2022 08:59:33",17,335,14,16,1,16,2,1,"Data Sekolah Kec. Mulyorejo - Dapodikdasmen.html"
"410","11","SD ISLAM AL AZHAR 35 SURABAYA","20573303","SD","Swasta","09 Mar 2022 12:52:35",11,425,18,24,2,18,2,1,"Data Sekolah Kec. Mulyorejo - Dapodikdasmen.html"
"411","12","SD ISLAM AL AZHAR KELAPA GADING SURABAYA","20533044","SD","Swasta","07 Mar 2022 09:27:59",15,361,17,25,5,18,2,1,"Data Sekolah Kec. Mulyorejo - Dapodikdasmen.html"
"412","13","SD LUQMAN AL HAKIM","20539077","SD","Swasta","11 Mar 2022 14:54:04",17,676,24,51,12,24,2,1,"Data Sekolah Kec. Mulyorejo - Dapodikdasmen.html"
"413","14","SD MUHAMMADIYAH 18 SURABAYA","20539080","SD","Swasta","12 Mar 2022 11:31:04",24,545,21,33,8,23,2,1,"Data Sekolah Kec. Mulyorejo - Dapodikdasmen.html"
"414","15","SD MUHAMMADIYAH 8 SURABAYA","20533071","SD","Swasta","07 Mar 2022 12:16:32",8,426,19,24,4,19,3,1,"Data Sekolah Kec. Mulyorejo - Dapodikdasmen.html"
"415","16","SD SANTA LORENT","20541294","SD","Swasta","10 Mar 2022 16:42:01",21,638,20,29,1,20,2,1,"Data Sekolah Kec. Mulyorejo - Dapodikdasmen.html"
"416","17","SD SWASTA AL-HUDA","20531855","SD","Swasta","07 Mar 2022 09:23:51",9,310,12,15,1,12,1,1,"Data Sekolah Kec. Mulyorejo - Dapodikdasmen.html"
"417","18","SD YPPI-IV","20532823","SD","Swasta","15 Mar 2022 09:33:48",7,131,8,13,6,12,2,1,"Data Sekolah Kec. Mulyorejo - Dapodikdasmen.html"
"418","19","SDK GLORIA 3","20558613","SD","Swasta","16 Mar 2022 17:02:02",11,792,31,46,8,34,3,1,"Data Sekolah Kec. Mulyorejo - Dapodikdasmen.html"
"419","20","SDK KRISTUS RAJA","20533144","SD","Swasta","09 Mar 2022 10:21:01",12,152,6,8,6,6,3,1,"Data Sekolah Kec. Mulyorejo - Dapodikdasmen.html"
"420","21","SDS KRISTEN FILADELFIA SCHOOL","69786249","SD","Swasta","24 Jan 2022 13:28:34",2,86,6,6,1,6,1,1,"Data Sekolah Kec. Mulyorejo - Dapodikdasmen.html"
"421","22","SDS PELITA JAYA","20533091","SD","Swasta","17 Mar 2022 12:46:58",9,84,6,11,2,0,0,0,"Data Sekolah Kec. Mulyorejo - Dapodikdasmen.html"
"422","23","SD CITA HATI","20531898","SPK SD","Swasta","18 Mar 2022 17:55:07",33,587,24,32,1,33,3,1,"Data Sekolah Kec. Mulyorejo - Dapodikdasmen.html"
"423","24","SD XIN ZHONG","20541296","SPK SD","Swasta","16 Mar 2022 14:50:47",10,771,32,39,2,35,5,2,"Data Sekolah Kec. Mulyorejo - Dapodikdasmen.html"
"424","Total","Total","Total","Total","Total","Total",392,9.877,380,525,108,408,47,27,"Data Sekolah Kec. Mulyorejo - Dapodikdasmen.html"
"425","1","SD NEGERI BANGKINGAN II442","20541284","SD","Negeri","10 Mar 2022 10:55:59",14,295,10,13,6,12,1,1,"Data Sekolah Kec. Lakarsantri - Dapodikdasmen.html"
"426","2","SD NEGERI JERUK I 469","20533510","SD","Negeri","12 Mar 2022 07:48:46",15,562,19,25,10,14,2,1,"Data Sekolah Kec. Lakarsantri - Dapodikdasmen.html"
"427","3","SD NEGERI LAKARSANTRI I 472","20533540","SD","Negeri","14 Mar 2022 14:22:27",7,181,6,9,6,6,1,1,"Data Sekolah Kec. Lakarsantri - Dapodikdasmen.html"
"428","4","SD NEGERI LAKARSANTRI II 473","20541288","SD","Negeri","18 Mar 2022 11:09:59",14,337,12,16,7,12,1,1,"Data Sekolah Kec. Lakarsantri - Dapodikdasmen.html"
"429","5","SD NEGERI LAKARSANTRI III NO 474","20533541","SD","Negeri","16 Mar 2022 13:47:37",15,137,6,6,5,7,2,1,"Data Sekolah Kec. Lakarsantri - Dapodikdasmen.html"
"430","6","SD NEGERI LIDAH KULON I 464","20533553","SD","Negeri","14 Mar 2022 10:47:40",23,662,23,31,6,20,4,1,"Data Sekolah Kec. Lakarsantri - Dapodikdasmen.html"
"431","7","SD NEGERI LIDAH KULON III 466","20567360","SD","Negeri","14 Mar 2022 12:04:18",15,155,6,9,5,6,1,1,"Data Sekolah Kec. Lakarsantri - Dapodikdasmen.html"
"432","8","SD NEGERI LIDAH KULON IV 467","20533557","SD","Negeri","11 Mar 2022 07:16:31",14,274,12,16,9,12,2,2,"Data Sekolah Kec. Lakarsantri - Dapodikdasmen.html"
"433","9","SD NEGERI LIDAH WETAN II 462","20541289","SD","Negeri","12 Mar 2022 08:29:33",15,657,21,25,11,26,2,1,"Data Sekolah Kec. Lakarsantri - Dapodikdasmen.html"
"434","10","SD NEGERI LIDAH WETAN IV 566","20533560","SD","Negeri","15 Mar 2022 14:12:21",21,100,6,9,5,6,1,1,"Data Sekolah Kec. Lakarsantri - Dapodikdasmen.html"
